University,Latitude,Longitude,Biome,Proximity to nearest edge,Proximity to safety,Proximity to human structures,Date,Time,Clouds,Precipitation,Wind,Squirrel species,Total vigilance,Total foraging,Total Alert Feeding,Total social,Total other,Total out of sight,Notes and comments,Number of conspecifics,Direct interaction with conspecifics,Conspecifics within 15m,Notes on conspecific behavior,Number of humans present other than yourself,Direct interaction with humans,Humans within 15m ,Notes on human behavior,Number of dogs present,Direct interaction with dogs,Dogs within 15m,Notes on dog behavior,Other animals present
Gonzaga University,47.40055,-117.24156,Core college campus,0 - 3m,3 - 15m,Within 15 meters of sidewalks,"Thursday, February 25, 2021",9:55:00 AM,Overcast,No,Steady breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,13.0,3.0,0,0.0,0,,0,No,No,,2.0,No,Yes,The squirrel paid no attention to the humans around it,0.0,No,No,,
Gonzaga University,47.66724,-117.40421,Core college campus,0 - 3m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Friday, February 26, 2021",9:55:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),1.0,0.0,7.0,0,0.0,2,Stopped at 3 minutes because we lost track of squirrel,0,,,,6.0,Yes,Yes,Construction workers drove in heavy equipment near squirrel feeding location,0.0,,,,
Gonzaga University,47.6687,-117.40116,Core college campus,> 10m,0m,"Within 15 meters of paved road, Within 15 meters of buildings","Saturday, February 27, 2021",9:55:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,1.0,6,Squirrel ran into the tree the moment we began to observe it and it was out of sight. We waited for two minutes but it showed no signs of reappearing.,0,,,,0.0,No,No,,0.0,,,,
Gonzaga University,47.40055,-117.24156,Core college campus,0 - 3m,3 - 15m,Within 15 meters of sidewalks,"Sunday, February 28, 2021",9:55:00 AM,Overcast,No,Steady breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,13.0,3.0,0,0.0,0,,0,No,No,,2.0,No,Yes,The squirrel paid no attention to the humans around it,0.0,No,No,,
Gonzaga University,38.21203,-85.75726,Core college campus,3 - 10m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Monday, March 1, 2021",10:00:00 AM,None,No,None,Eastern gray squirrel (Sciurus carolinensis),3.0,7.0,3.0,3,0.0,0,,5,Yes,Yes,,15.0,No,Yes,,0.0,No,No,,
Gonzaga University,38.21203,-85.75726,Core college campus,3 - 10m,,Within 15 meters of buildings,"Tuesday, March 2, 2021",10:00:00 AM,None,No,None,Eastern gray squirrel (Sciurus carolinensis),5.0,5.0,4.0,2,16.0,0,,3,Yes,Yes,,15.0,No,Yes,,0.0,No,No,,
Gonzaga University,47.66941,-117.40673000000001,Core college campus,0 - 3m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Wednesday, March 3, 2021",10:01:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),3.0,3.0,1.0,0,9.0,0,,0,,,,0.0,,,,0.0,,,,
Gonzaga University,47.66873,-117.4013,Core college campus,0 - 3m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Thursday, March 4, 2021",10:02:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,16.0,0,It stayed in a tree the whole time,0,,,,1.0,No,Yes,Human walking by tree that squirrel was on,0.0,,,,
Gonzaga University,47.66873,-117.4013,Core college campus,0 - 3m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Friday, March 5, 2021",10:02:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,16.0,0,It stayed in a tree the whole time,0,,,,1.0,No,Yes,Human walking by tree that squirrel was on,0.0,,,,
Gonzaga University,47.66668,-117.40813,Core college campus,0 - 3m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of dirt/gravel road, Within 15 meters of paved road, Within 15 meters of buildings","Saturday, March 6, 2021",10:05:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),3.0,4.0,6.0,0,3.0,0,,0,,Yes,,3.0,Yes,Yes,A human walked by the tree the squirrel ran up and some one drove by in a car too.,0.0,No,No,,
